,rl_yaw,rl_roll,rl_pitch
252,-69.4375,-17.5625,-64.6875
253,-68.625,-17.3125,-65.9375
254,-69.6875,-17.0625,-65.5
255,-71.375,-16.6875,-64.6875
256,-73.3125,-16.3125,-63.625
257,-75.375,-15.75,-62.1875
258,-74.8125,-15.625,-60.9375
259,-73.8125,-15.75,-60.9375
260,-72.875,-15.5,-60.4375
261,-73.25,-15.3125,-58.4375
262,-72.75,-15.4375,-54.0625
263,-70.5625,-15.0,-49.25
264,-68.3125,-14.5625,-44.75
265,-67.0,-14.375,-40.0
266,-67.0,-14.4375,-36.3125
267,-66.875,-14.5,-32.1875
268,-67.3125,-14.1875,-29.1875
269,-67.3125,-13.875,-27.5625
270,-67.75,-13.75,-26.625
271,-68.0,-13.1875,-25.625
272,-68.5,-13.125,-25.8125
273,-69.3125,-13.25,-25.75
274,-70.3125,-13.5,-26.0
275,-71.5,-13.6875,-26.5625
276,-72.8125,-14.0625,-27.4375
277,-74.625,-14.5625,-28.8125
278,-76.4375,-15.1875,-30.8125
279,-77.5625,-15.625,-32.875
280,-78.6875,-16.125,-34.8125
281,-78.6875,-16.125,-36.25
282,-78.875,-16.1875,-37.625
283,-80.0,-16.375,-40.4375
284,-79.5625,-16.1875,-44.8125
285,-78.4375,-15.4375,-49.75
286,-81.3125,-15.5,-54.0
287,-84.0625,-15.0,-57.625
288,-84.1875,-13.75,-59.875
289,-83.6875,-12.4375,-62.375
290,-81.625,-11.6875,-64.4375
291,-80.1875,-11.0,-65.3125
292,-79.8125,-10.5625,-65.75
293,-79.125,-10.3125,-66.1875
294,-77.5,-10.8125,-66.375
295,-74.3125,-11.1875,-66.4375
296,-69.5,-11.4375,-66.5625
297,-64.1875,-11.8125,-66.6875
298,-59.1875,-11.9375,-66.625
299,-55.5625,-12.1875,-66.4375
300,-50.625,-12.25,-65.875
301,-46.6875,-12.25,-65.75
302,-40.5625,-12.25,-65.9375
303,-33.6875,-12.25,-65.6875
304,-29.75,-12.3125,-65.25
305,-24.8125,-12.75,-65.125
306,-20.875,-12.5625,-65.0625
307,-17.0,-12.5,-65.125
308,-13.5,-12.625,-65.1875
309,-9.875,-12.4375,-65.3125
310,-5.125,-12.375,-65.6875
311,-0.3125,-12.8125,-66.5625
312,6.0625,-13.0,-68.1875
313,11.1875,-12.875,-68.875
314,14.4375,-12.8125,-68.5625
315,16.0625,-13.0,-68.1875
316,17.5,-13.0625,-68.1875
317,17.3125,-13.3125,-68.25
318,17.375,-13.25,-67.6875
319,17.1875,-12.5625,-65.8125
320,17.875,-11.6875,-62.625
321,18.25,-11.6875,-59.875
322,18.9375,-11.5,-57.6875
323,18.5625,-11.6875,-56.75
324,17.9375,-11.5,-57.0
325,16.6875,-11.25,-56.75
326,13.4375,-11.5625,-56.0625
327,8.5625,-12.1875,-55.625
328,5.0625,-12.5625,-55.625
329,0.8125,-12.75,-55.875
330,-5.4375,-13.625,-56.0
331,-10.375,-14.125,-55.8125
332,-14.6875,-14.625,-55.1875
333,-17.5,-15.0,-55.1875
334,-20.25,-15.0625,-55.375
335,-23.0625,-15.3125,-55.875
336,-25.75,-15.6875,-55.8125
337,-29.1875,-15.625,-56.375
338,-33.125,-15.5,-57.0625
339,-37.625,-15.5625,-57.125
340,-47.0,-15.75,-58.375
341,-52.5625,-14.875,-60.25
342,-56.5,-14.8125,-61.5625
343,-61.1875,-15.0625,-61.9375
344,-64.9375,-14.625,-62.8125
